id,context,question,answer,answer_start,difficulty
441,The Grand Observatory was completed in 2007 and is located in Kuala Lumpur. It attracts roughly 45000 visitors every year.,When was the Grand Observatory completed?,2007,39,Beginner
442,Quantum Innovations was founded in Berlin in 2008 by Leila Larsen. The company now employs more than 500000 people across the Czech Republic.,Who founded Quantum Innovations?,Leila Larsen,53,Advanced
443,Olivia Khan published a research paper on quantum materials in 2018 while working at Redstone Consulting in Copenhagen.,Where was Olivia Khan working when the paper was published?,Redstone Consulting,85,Intermediate
444,Coastal Insurance Co. was founded in Buenos Aires in 1993 by Charlotte Taylor. The company now employs more than 3400 people across Japan.,In what year was Coastal Insurance Co. founded?,1993,53,Beginner
445,Ethan Rossi joined Lakeside Medical Center as a senior analyst in 2001 and later moved to the Lisbon office in 2005.,In what year did Ethan Rossi join Lakeside Medical Center?,2001,66,Beginner
446,"The robotics championship took place in Stockholm on September 16, 2021, drawing an audience of about 8700 people from around New Zealand.",When did the robotics championship take place?,"September 16, 2021",53,Advanced
447,The Old Town Hall was completed in 2001 and is located in Jakarta. It attracts roughly 250000 visitors every year.,Where is the Old Town Hall located?,Jakarta,58,Beginner
448,Samuel Wright published a research paper on urban air quality in 2010 while working at Skyline Real Estate in Helsinki.,Where was Samuel Wright working when the paper was published?,Skyline Real Estate,87,Advanced
449,Felix Chen published a research paper on urban air quality in 2002 while working at NextGen Software Labs in Nairobi.,What topic did Felix Chen research?,urban air quality,41,Beginner
450,Sofia Haddad joined Crescent Media Group as a lead engineer in 2012 and later moved to the Manila office in 2015.,Which office did Sofia Haddad later move to?,Manila,91,Intermediate
451,Layla King joined Evergreen Energy Co. as a project manager in 2009 and later moved to the Marrakesh office in 2013.,What role did Layla King join Evergreen Energy Co. as?,project manager,44,Intermediate
452,Zainab Wright published a research paper on machine translation in 1999 while working at Riverside Bank in Kuala Lumpur.,Where was Zainab Wright working when the paper was published?,Riverside Bank,89,Intermediate
453,The Harborview Bridge was completed in 2012 and is located in Marrakesh. It attracts roughly 22000 visitors every year.,Where is the Harborview Bridge located?,Marrakesh,62,Beginner
454,The Grand Observatory was completed in 1990 and is located in Seoul. It attracts roughly 1200 visitors every year.,When was the Grand Observatory completed?,1990,39,Advanced
455,The Central Library was completed in 1990 and is located in Toronto. It attracts roughly 250000 visitors every year.,Where is the Central Library located?,Toronto,60,Beginner
456,Aisha Wilson joined Global Trade Partners as a senior analyst in 2002 and later moved to the Mumbai office in 2006.,Which office did Aisha Wilson later move to?,Mumbai,93,Intermediate
457,"The science and innovation fair took place in Edinburgh on May 8, 2025, drawing an audience of about 45000 people from around Germany.",Where did the science and innovation fair take place?,Edinburgh,46,Intermediate
458,Nadia Okafor joined Aurora Data Systems as a lead engineer in 2019 and later moved to the Berlin office in 2024.,What role did Nadia Okafor join Aurora Data Systems as?,lead engineer,45,Beginner
459,Delta Cloud Services was founded in Prague in 2005 by Daniel Okafor. The company now employs more than 500000 people across the Czech Republic.,In which city was Delta Cloud Services founded?,Prague,36,Advanced
460,"The annual jazz festival took place in Cairo on April 13, 2021, drawing an audience of about 1200 people from around Ireland.",When did the annual jazz festival take place?,"April 13, 2021",48,Beginner
461,Northfield University was founded in Kuala Lumpur in 2018 by Chen Novak. The company now employs more than 3400 people across Finland.,Who founded Northfield University?,Chen Novak,61,Advanced
462,The Harborview Bridge was completed in 1994 and is located in Marrakesh. It attracts roughly 96000 visitors every year.,Where is the Harborview Bridge located?,Marrakesh,62,Beginner
463,Harborview College was founded in Seoul in 2021 by Felix Wright. The company now employs more than 500000 people across Ireland.,In what year was Harborview College founded?,2021,43,Beginner
464,Ingrid Costa joined Harborview College as a project manager in 2019 and later moved to the Santiago office in 2020.,In what year did Ingrid Costa join Harborview College?,2019,63,Intermediate
465,"The science and innovation fair took place in Cape Town on December 17, 2017, drawing an audience of about 500000 people from around Finland.",Where did the science and innovation fair take place?,Cape Town,46,Beginner
466,Zainab Anderson joined Summit Robotics Inc. as a operations coordinator in 2022 and later moved to the Seoul office in 2023.,Which office did Zainab Anderson later move to?,Seoul,103,Intermediate
467,Crescent Media Group was founded in Lisbon in 2017 by Peter Osei. The company now employs more than 8700 people across Thailand.,In what year was Crescent Media Group founded?,2017,46,Intermediate
468,"The global health conference took place in Cape Town on May 1, 2023, drawing an audience of about 96000 people from around Denmark.",Where did the global health conference take place?,Cape Town,43,Advanced
469,Omar Walker joined Harborview College as a senior analyst in 1997 and later moved to the Melbourne office in 2002.,Which office did Omar Walker later move to?,Melbourne,89,Beginner
470,Peter Chen joined Summit Robotics Inc. as a operations coordinator in 1996 and later moved to the Melbourne office in 1998.,What role did Peter Chen join Summit Robotics Inc. as?,operations coordinator,44,Advanced
471,Global Trade Partners was founded in Toronto in 2017 by Charlotte Rossi. The company now employs more than 45000 people across the Philippines.,Who founded Global Trade Partners?,Charlotte Rossi,56,Beginner
472,The National Science Center was completed in 2017 and is located in Helsinki. It attracts roughly 250000 visitors every year.,When was the National Science Center completed?,2017,45,Advanced
473,Blue Horizon Airlines was founded in Nairobi in 2002 by Nadia Müller. The company now employs more than 500000 people across the Netherlands.,In what year was Blue Horizon Airlines founded?,2002,48,Advanced
474,The Old Town Hall was completed in 2004 and is located in Copenhagen. It attracts roughly 45000 visitors every year.,When was the Old Town Hall completed?,2004,35,Advanced
475,The Central Library was completed in 2010 and is located in Bangkok. It attracts roughly 1200 visitors every year.,Where is the Central Library located?,Bangkok,60,Beginner
476,Layla Rossi published a research paper on renewable energy storage in 2005 while working at Riverside Bank in Edinburgh.,What topic did Layla Rossi research?,renewable energy storage,42,Intermediate
477,The Riverside Museum was completed in 2022 and is located in Stockholm. It attracts roughly 45000 visitors every year.,Where is the Riverside Museum located?,Stockholm,61,Intermediate
478,Zenith Pharmaceuticals was founded in Dublin in 1995 by Daniel Rossi. The company now employs more than 45000 people across Egypt.,In what year was Zenith Pharmaceuticals founded?,1995,48,Beginner
479,Silverline Motors was founded in Wellington in 2006 by Olivia Hall. The company now employs more than 96000 people across Argentina.,Who founded Silverline Motors?,Olivia Hall,55,Intermediate
480,"The annual jazz festival took place in Copenhagen on August 9, 2024, drawing an audience of about 500000 people from around the Netherlands.",Where did the annual jazz festival take place?,Copenhagen,39,Beginner
481,Falcon Logistics was founded in Melbourne in 1999 by Layla Hall. The company now employs more than 250000 people across Chile.,Who founded Falcon Logistics?,Layla Hall,53,Advanced
482,"The technology summit took place in Jakarta on July 3, 2015, drawing an audience of about 15000 people from around Indonesia.",Where did the technology summit take place?,Jakarta,36,Beginner
483,The Old Town Hall was completed in 1996 and is located in Prague. It attracts roughly 3400 visitors every year.,When was the Old Town Hall completed?,1996,35,Intermediate
484,Chen Anderson published a research paper on quantum materials in 2003 while working at Lakeside Medical Center in Cairo.,What topic did Chen Anderson research?,quantum materials,44,Advanced
