id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
798,"Notably, the bakery started offering gluten-free pastries as a new product line.","Notably, the bakery introduced a new line of gluten-free pastries.",0.82,High,Paraphrase
799,"Notably, the guests were served a tasty meal that the chef had cooked.",Sources confirmed that a delicious meal was made by the chef for the guests.,0.92,Very High,Same Meaning
800,"According to the report, the novelist released her long-awaited sequel this spring.","According to the report, fans welcomed the release of the novelist's sequel this spring.",0.94,Very High,Same Meaning
801,Groundbreaking research on renewable energy was published by the scientists.,"Notably, groundbreaking research on renewable energy was published by the scientists.",0.92,Very High,Same Meaning
802,"As widely reported, a much better camera is one of the new smartphone's key features.",It was noted that the new smartphone's camera quality is worse than the previous model.,0.31,Low,Contradiction
803,The council voted to fund the construction of a new public park.,"Notably, the orchestra performed a moving tribute to the late composer.",0.01,Very Low,Unrelated
804,The volunteers cleaned up litter along the riverbank last weekend.,It was noted that the event was organized by a local environmental group.,0.64,Medium,Related
805,"According to the report, the startup developed an app that helps farmers monitor soil health.",It was noted that agricultural experts praised the app's accuracy in the field.,0.63,Medium,Related
806,"It was noted that after a dramatic final, the soccer team claimed the championship title.","Sources confirmed that after a dramatic final, the soccer team claimed the championship title.",0.95,Very High,Same Meaning
807,"According to the report, the orchestra honored the late composer with an emotional performance.","According to the report, a new exhibit about ancient civilizations opened at the museum.",0.07,Very Low,Unrelated
808,"As widely reported, the students studied hard for their final exams.","Notably, the students put in a lot of effort studying for finals.",0.95,Very High,Same Meaning
809,It was noted that a much better camera is one of the new smartphone's key features.,Sources confirmed that the new smartphone's camera quality is worse than the previous model.,0.33,Low,Contradiction
810,A new gluten-free pastry line was launched by the bakery.,Customers have praised the bakery's friendly staff and cozy atmosphere.,0.55,Medium,Related
811,"According to the report, the hospital's new wing focuses on caring for young patients.","As widely reported, donors contributed generously to fund the hospital's expansion.",0.61,Medium,Related
812,"Notably, fans welcomed the release of the novelist's sequel this spring.",It was noted that the novelist released her long-awaited sequel this spring.,0.96,Very High,Same Meaning
813,"As widely reported, fans welcomed the release of the novelist's sequel this spring.",The novelist released her long-awaited sequel this spring.,0.93,Very High,Same Meaning
814,It was noted that the film received widespread critical acclaim upon release.,The film was widely panned by critics upon release.,0.3,Low,Contradiction
815,"As widely reported, fans welcomed the release of the novelist's sequel this spring.","This spring, the novelist's long-awaited sequel finally arrived.",0.83,High,Paraphrase
816,"Notably, the soccer team won the championship after a dramatic final.",Sources confirmed that the championship was won by the soccer team in a thrilling final match.,0.87,High,Paraphrase
817,A bike-sharing program was launched by the city to ease traffic congestion.,It was noted that a bike-sharing program was launched by the city to ease traffic congestion.,0.82,High,Paraphrase
818,The smartphone's camera has been greatly improved in this new version.,Sources confirmed that the new smartphone's camera quality is worse than the previous model.,0.22,Low,Contradiction
819,"According to the report, the chef prepared a delicious meal for the guests.",It was noted that the restaurant received great reviews for its outstanding service.,0.57,Medium,Related
820,"According to the report, the hikers reached the summit just before sunset.","Notably, the group of hikers made it to the top right before the sun went down.",0.82,High,Paraphrase
821,It was noted that the championship was won by the soccer team in a thrilling final match.,"After a dramatic final, the soccer team claimed the championship title.",0.9,Very High,Same Meaning
