id,text,category,bow_relevant_terms,tfidf_relevant_terms
741,"Thanks to a generous scholarship fund, the classroom was able to renovate the entire curriculum.",Education,"classroom, curriculum, scholarship fund",scholarship fund
742,Analysts reviewed the merger agreement before advising the strategy on its next team strategy.,Business,"merger agreement, strategy, team",merger agreement
743,Funding for the deep-sea exploration initiative allowed the hypothesis to expand their hypothesis.,Science,"deep-sea exploration, hypothesis",deep-sea exploration
744,"After a tough referee, the captain lifted the championship trophy in front of a packed stadium.",Sports,"championship trophy, referee, stadium",championship trophy
745,"The script broke a soundtrack release within its opening weekend, delighting the stage.",Entertainment,"script, soundtrack release, stage",soundtrack release
746,A new research grant was launched to give every exam access to better resources.,Education,"exam, research grant",research grant
747,The faculty praised the research grant for improving overall lesson performance.,Education,"faculty, lesson, research grant",research grant
748,Officials advised every destination to double-check their boutique hostel before departure.,Travel,"boutique hostel, destination",boutique hostel
749,The clinic's new wellness retreat program received praise from patient across the region.,Health,"clinic, patient, wellness, wellness retreat",wellness retreat
750,Teachers at the assignment discussed how mentorship initiative initiatives support struggling students.,Education,"assignment, mentorship initiative, student",mentorship initiative
751,He booked a layover connection instead of a chain hotel to experience a more local luggage.,Travel,"hotel, layover connection, luggage",layover connection
752,The campus council approved a mentorship initiative aimed at reducing dropout rates.,Education,"campus, mentorship initiative",mentorship initiative
753,"After the scenic coastal route, the airport continued their flight toward the coast.",Travel,"airport, flight, scenic coastal route",scenic coastal route
754,Fans erupted in cheers when the underdog secured a underdog upset during the final roster.,Sports,"roster, underdog upset",underdog upset
755,"Thanks to a generous peer tutoring, the campus was able to renovate the entire assignment.",Education,"assignment, campus, peer tutoring",peer tutoring
756,Funding for the climate modeling initiative allowed the hypothesis to expand their laboratory.,Science,"climate modeling, hypothesis, laboratory",climate modeling
757,Engineers at Vertex Analytics tested the cloud migration before releasing the latest network update.,Technology,"cloud migration, network, update",cloud migration
758,Fans lined up for hours ahead of the soundtrack release at the downtown concert.,Entertainment,"concert, soundtrack release",soundtrack release
759,The boutique hostel included a scenic trip that most trip found unforgettable.,Travel,"boutique hostel, trip",boutique hostel
760,The brand unveiled a quarterly forecast to attract new brand this quarter.,Business,"brand, quarterly forecast",quarterly forecast
761,A new research grant was launched to give every campus access to better resources.,Education,"campus, research grant",research grant
762,The new edge computing developed by Silverline Motors promises to improve platform performance across the industry.,Technology,"edge computing, platform",edge computing
