id,text,task,input_type,expected_output,difficulty
723,"Here is a case to review: A regional theater group staged a modern retelling of a classic play, drawing praise for its inventive set design and a diverse young cast.",Text Summarization,Paragraph,Theater group praised for modern retelling of a classic play.,Advanced
724,"For instance, The architect sketched the building's [MASK] on the whiteboard.",Masked Language Modeling,Masked Sentence,layout,Intermediate
725,Note the following: The farmer checked the soil before planting the [MASK].,Masked Language Modeling,Masked Sentence,seeds,Advanced
726,Example: Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Intermediate
727,"Consider the following: The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Beginner
728,Case in point: The photographer waited for the perfect [MASK] to take the shot.,Masked Language Modeling,Masked Sentence,light,Intermediate
729,Example: Physicists confirmed a new particle interaction in the experiment.,Text Classification,Single Sentence,Science,Beginner
730,Review this input: Researchers discovered a new species in the rainforest.|A new species was discovered in the rainforest by researchers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
731,See below: The company reported quarterly earnings above analyst expectations.,Text Classification,Single Sentence,Business,Beginner
732,See below: Fatima Costa was appointed as the new director at Coastal Insurance Co..,Named Entity Recognition,Single Sentence,"PERSON: Fatima Costa, ORG: Coastal Insurance Co.",Intermediate
733,Task input: Crescent Media Group announced a new office opening in Cape Town.,Named Entity Recognition,Single Sentence,"ORG: Crescent Media Group, GPE: Cape Town",Intermediate
734,"Case in point: After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Beginner
735,"For instance, The gardener watered the plants every [MASK] morning.",Masked Language Modeling,Masked Sentence,single,Advanced
736,Task input: The train journey between the two cities takes about four hours.|How long does the train journey take?,Question Answering,Context + Question,about four hours,Beginner
737,See below: The bridge took nearly six years to construct.|How long did the bridge take to construct?,Question Answering,Context + Question,nearly six years,Intermediate
738,"As an example, The mechanic inspected the car's [MASK] before the road trip.",Masked Language Modeling,Masked Sentence,engine,Beginner
739,Sample input: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Advanced
740,See below: Chemists developed a more efficient method for producing clean fuel.,Text Classification,Single Sentence,Science,Advanced
741,Sample input: The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?,Question Answering,Context + Question,more than fifty thousand,Intermediate
742,See below: The students submitted their assignments before the [MASK].,Masked Language Modeling,Masked Sentence,deadline,Intermediate
743,Sample input: Victor Khan was appointed as the new director at Lakeside Medical Center.,Named Entity Recognition,Single Sentence,"PERSON: Victor Khan, ORG: Lakeside Medical Center",Intermediate
744,"As an example, The library was renovated using funds from a private donor.|How was the library's renovation funded?",Question Answering,Context + Question,funds from a private donor,Beginner
745,Review this input: The chef added a pinch of salt to the [MASK].,Masked Language Modeling,Masked Sentence,soup,Intermediate
746,Consider the following: Write a short pitch for a new budgeting app.,Text Generation,Prompt,Take control of your spending with an app that makes budgeting simple and stress-free.,Beginner
747,Note the following: The vaccination campaign reached thousands of families this month.,Text Classification,Single Sentence,Health,Advanced
748,"As an example, The tourism board launched a campaign promoting off-season visits.",Text Classification,Single Sentence,Travel,Advanced
749,Here is a case to review: Teachers attended a workshop on integrating technology into lessons.,Text Classification,Single Sentence,Education,Intermediate
750,Task input: Hassan Clark joined Global Trade Partners in Manila last year.,Named Entity Recognition,Single Sentence,"PERSON: Hassan Clark, ORG: Global Trade Partners, GPE: Manila",Intermediate
751,Example: Union Manufacturing Corp. announced a new office opening in Copenhagen.,Named Entity Recognition,Single Sentence,"ORG: Union Manufacturing Corp., GPE: Copenhagen",Intermediate
752,Review this input: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
753,Consider the following: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Beginner
754,Example: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Advanced
755,Here is a case to review: Generate a short caption for a photo of a mountain sunrise.,Text Generation,Prompt,Golden light spills over the peaks as another day begins in the highlands.,Intermediate
756,Case in point: Write an opening line for a travel guide about a mountain village.,Text Generation,Prompt,"Tucked between two peaks, this quiet mountain village feels frozen in time.",Beginner
757,"Review this input: Overall, the restaurant was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
758,The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Intermediate
759,Review this input: The wearable device tracks sleep patterns and syncs with an app.,Text Classification,Single Sentence,Technology,Beginner
760,Consider the following: She bought a ticket to catch the early morning [MASK].,Masked Language Modeling,Masked Sentence,train,Beginner
761,Reference text: Grace Suzuki was appointed as the new director at Vertex Analytics.,Named Entity Recognition,Single Sentence,"PERSON: Grace Suzuki, ORG: Vertex Analytics",Advanced
